Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
d6a328aa-a319-9277-2ea9-27ecbdad29e3,2013-11-18,,999-10-5491,,,,Shery223,Olga567,Hammes673,,,,white,nonhispanic,F,Randolph  Massachusetts  US,532 Lockman Parade,Westport,Massachusetts,Bristol County,,00000,41.570550060463496,-71.05114733888493,20005.20,1632.20,68379
82db0526-da07-ed7a-3ff5-bb17c35de8ea,2006-10-28,,999-27-9451,S99920583,,Ms.,Wai719,Domitila545,Bode78,,,,white,nonhispanic,F,Malden  Massachusetts  US,484 Jacobson Track Apt 79,Duxbury,Massachusetts,Plymouth County,25023,02332,42.02363604531278,-70.72517041836795,44749.58,2770.07,124099
7dcc4e71-3faa-0b8f-9257-25eba37dc32d,2012-10-10,,999-95-5258,,,,Sage164,Yvette315,Schuppe920,,,,white,nonhispanic,F,Teaticket  Massachusetts  US,738 Williamson Center,Swansea,Massachusetts,Bristol County,,00000,41.758832184918994,-71.16419639144748,41315.53,1510.70,67788
17bb62eb-62ed-56b2-92f3-a995cb365eb2,2020-01-19,,999-35-8850,,,,Susie661,Ruby458,Simonis280,,,,white,nonhispanic,F,Everett  Massachusetts  US,901 Yost Glen,Lowell,Massachusetts,Middlesex County,25017,01854,42.631072301075044,-71.35553354782157,800.00,15118.21,24169
d4eb1c66-2293-ee4c-c50e-4a20b3c71406,2002-08-30,,999-15-3452,S99981679,X12505339X,Ms.,Gisela897,Kelsie51,Leffler128,,,,white,nonhispanic,F,Chelmsford  Massachusetts  US,168 Smitham Gateway Unit 64,Westhampton,Massachusetts,Hampshire County,,00000,42.266575220487134,-72.82369874385233,94664.33,413059.61,55798
d010cebc-bfcf-7b46-915f-253c0897dace,1965-09-13,1985-08-27,999-69-8604,S99993661,,Ms.,Barbie211,,Doyle959,,,,white,nonhispanic,F,Boston  Massachusetts  US,687 Lockman Mission Suite 95,Granby,Massachusetts,Hampshire County,25015,01033,42.220887325424314,-72.50159833779945,16208.76,335768.53,151387
5abb47ae-97b1-d42e-f7d9-9aeb5369f437,1990-05-26,,999-17-2702,S99924135,X33211480X,Mr.,Blair400,Ahmad985,Zboncak558,,,M,black,nonhispanic,M,Hamilton  Massachusetts  US,501 Pollich Club Unit 46,Cambridge,Massachusetts,Middlesex County,25017,02140,42.32611407934022,-71.11151428409124,76142.15,7975.49,428851
05b7e5be-de73-f17e-4062-904498891f3d,1977-09-22,2013-12-27,999-80-2406,S99926165,X88102970X,Mr.,Burt293,Theron432,Witting912,,,M,white,nonhispanic,M,Somerville  Massachusetts  US,968 Leuschke Wall,New Bedford,Massachusetts,Bristol County,25005,02748,41.6124004513116,-70.96830565468967,303627.74,275140.11,37725
bc655780-d180-8e89-10ce-acf0f76864bc,1977-03-04,,999-53-7609,S99942573,X83906120X,Mrs.,Tish18,Hermine424,Blick895,,Reynolds644,M,white,nonhispanic,F,Springfield  Massachusetts  US,834 Walker Harbor,Pinehurst,Massachusetts,Middlesex County,25017,01866,42.48816984871211,-71.26160600372629,916905.92,625714.06,92553
46057deb-59ac-5640-1603-c1073a785e41,1966-09-30,,999-87-6179,S99939656,X18403766X,Mr.,Raymond398,Ashley34,Cole117,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,909 Witting Route,Norwell,Massachusetts,Plymouth County,,00000,42.185370547528464,-70.80135725348006,149793.33,18890.76,554410
17b7f4d8-fa72-c4e8-0eeb-debe0114ad4b,1980-05-19,,999-20-5473,S99939875,X55837738X,Ms.,Shenika151,Elvera717,Pfannerstill264,,,S,white,nonhispanic,F,Melrose  Massachusetts  US,226 Rau Tunnel,Andover,Massachusetts,Essex County,25009,01810,42.637897910271256,-71.18086651697475,264860.63,417099.38,130923
f31c7028-5a97-6668-fb3a-9d8ec83b56a2,1995-07-23,,999-58-5232,S99955323,X51352521X,Mrs.,Marcell728,Ladawn167,Quitzon246,,Kovacek682,M,white,nonhispanic,F,Lowell  Massachusetts  US,505 Wilkinson Flat,Burlington,Massachusetts,Middlesex County,25017,01803,42.45611535877206,-71.23968112262345,56621.08,792274.88,25680
468cc0ea-f014-7cf2-7969-105b80da1fe1,1962-09-04,2024-10-28,999-87-5768,S99926826,X58293722X,Mr.,Eddy900,Chester802,Welch179,,,D,white,nonhispanic,M,Dudley  Massachusetts  US,1063 Nikolaus Trail Unit 61,Boston,Massachusetts,Suffolk County,25025,02151,42.3965205135215,-71.0582109969041,222582.90,29299.48,66169
4c9a38ba-1b90-08ea-0348-09f092bf8e22,1977-08-04,,999-58-3455,S99925522,X88252703X,Mrs.,Willie882,Peggy868,Franecki195,,Halvorson124,M,white,nonhispanic,F,Newton  Massachusetts  US,343 Morissette Corner,Shrewsbury,Massachusetts,Worcester County,,00000,42.23592398766612,-71.7213966992035,395365.88,1535304.65,882353
af335136-3948-4cf9-ac0d-00eca37a5b5f,1958-11-13,,999-75-8009,S99947833,X49145091X,Mr.,Andres25,Ed239,Sipes176,,,M,white,nonhispanic,M,Hudson  Massachusetts  US,837 Franecki Viaduct Unit 82,Worcester,Massachusetts,Worcester County,25027,01610,42.29419972522605,-71.73463807737924,224066.02,38389.92,55379
feeb1b1d-ec6b-cf5d-085e-d02e155289b8,1973-10-02,,999-10-7072,S99959783,X78037078X,Mr.,Cary869,Mason910,Reilly981,,,D,white,nonhispanic,M,Quincy  Massachusetts  US,757 Reilly Walk Unit 15,Springfield,Massachusetts,Hampden County,25013,01108,42.07317595666928,-72.46942583580312,361403.07,0.00,80867
1cc2931c-398e-5a75-6c92-9f75362371dc,1963-04-10,,999-93-9304,S99977329,X43941516X,Mr.,Rocky100,Marlon619,Corwin846,,,D,white,nonhispanic,M,Adams  Massachusetts  US,783 Rath Trafficway Suite 79,Natick,Massachusetts,Middlesex County,,00000,42.2990337737637,-71.33821444968447,168463.54,40082.20,131690
baff594d-6970-6db6-0f64-c28006346063,1967-03-25,,999-47-3395,S99965526,X43119521X,Mr.,Newton741,Dino214,Bartoletti50,,,M,asian,nonhispanic,M,Beijing  Beijing Municipality  CN,639 Kling Manor,Mansfield Center,Massachusetts,Bristol County,,00000,42.04599563257162,-71.23426958260129,210750.49,34186.89,101997
8fdd0585-8411-4278-e978-da29997b8658,1977-09-22,,999-89-1692,S99979452,X9908676X,Mr.,Tony646,Andre610,Zemlak964,,,S,white,nonhispanic,M,Duxbury  Massachusetts  US,179 Sauer Extension,New Bedford,Massachusetts,Bristol County,25005,02747,41.671732194754256,-70.96796008045854,60341.34,140303.54,37725
c14702e9-044c-2aba-c4bb-c64ba7c7e020,1946-05-17,,999-81-7979,S99911463,X32647426X,Ms.,Antonia30,Pilar644,Segovia340,,,S,white,hispanic,F,Kingston  Kingston  JM,205 McKenzie Boulevard,South Dennis,Massachusetts,Barnstable County,25001,02660,41.71278495710947,-70.1314049795375,522349.97,1267668.78,52773
6527332f-1a57-d3f4-9855-4786f6c07ebc,1965-09-13,,999-56-1857,S99981716,X16532062X,Mrs.,Rufina863,Domenica436,Casper496,,Koch169,D,white,nonhispanic,F,Reading  Massachusetts  US,1071 Schumm Path Unit 91,Granby,Massachusetts,Hampshire County,25015,01033,42.26923796423526,-72.48913711101395,359126.95,710090.87,151387
